Grupo de edad,<=39,40-49,50-59,60-69,70-79,80-89,>=90
2020-04-09,2,1,1,9,21,19,4
2020-04-10,2,2,2,10,22,21,6
2020-04-11,3,2,2,12,24,24,6
2020-04-12,3,2,3,12,28,25,7
2020-04-13,3,2,3,12,29,26,7
2020-04-14,3,2,5,12,30,32,8
2020-04-15,3,2,5,12,31,33,8
2020-04-16,3,2,6,14,32,38,10
2020-04-17,4,2,8,16,36,40,10
2020-04-18,4,2,8,17,39,44,12
2020-04-19,4,2,9,18,41,46,13
2020-04-20,4,2,11,19,42,47,14
2020-04-21,5,2,13,20,43,50,14
2020-04-22,5,2,14,26,47,51,15
2020-04-23,5,3,14,28,48,54,16
2020-04-24,5,4,14,30,49,56,16
2020-04-25,6,6,15,31,50,57,16
2020-04-26,6,7,15,33,52,59,17
2020-04-27,6,7,16,35,57,60,17
2020-04-28,6,8,16,35,60,62,20
2020-04-29,6,9,17,38,60,65,21
2020-04-30,6,10,17,40,65,68,21
2020-05-01,6,10,18,41,68,70,21
2020-05-02,6,11,18,43,72,75,23
2020-05-03,6,12,18,45,73,80,26
2020-05-04,6,12,20,46,76,83,27
2020-05-05,6,13,20,46,76,85,29
2020-05-06,6,13,20,47,76,89,30
2020-05-07,6,13,21,47,76,92,30
2020-05-08,7,14,21,49,80,93,30
2020-05-09,7,15,22,52,82,93,33
2020-05-10,7,16,22,54,84,95,34
2020-05-11,7,16,23,56,89,96,36
2020-05-12,8,18,24,56,92,99,38
2020-05-13,8,19,27,58,94,102,38
2020-05-14,9,22,27,63,102,107,38
2020-05-15,10,22,31,65,110,117,39
2020-05-16,10,24,32,73,118,123,41
2020-05-17,10,25,35,78,126,132,44
2020-05-18,10,28,40,82,133,136,49
2020-05-19,11,30,47,83,141,145,52
2020-05-20,11,31,51,92,152,152,55
2020-05-21,12,32,57,99,173,159,57
2020-05-22,13,33,58,106,183,178,59
2020-05-23,14,35,64,112,193,193,62
2020-05-24,16,38,67,121,210,200,66
2020-05-25,16,41,69,128,225,208,74
2020-05-26,16,42,76,137,239,218,78
