Ventiladores,total,disponibles,ocupados
2020-04-14,1550,564,986
2020-04-15,1563,577,986
2020-04-16,1582,569,1013
2020-04-17,1604,579,1025
2020-04-18,1627,588,1039
2020-04-19,1627,570,1057
2020-04-20,1621,538,1083
2020-04-21,1614,521,1093
2020-04-22,1619,545,1074
2020-04-23,1622,536,1086
2020-04-24,1625,541,1084
2020-04-25,1630,572,1058
2020-04-26,1702,620,1082
2020-04-27,1702,592,1110
2020-04-28,1700,583,1117
2020-04-29,1705,595,1110
2020-04-30,1708,608,1100
2020-05-01,1710,612,1098
2020-05-02,1825,709,1116
2020-05-03,1825,674,1151
2020-05-04,1825,654,1174
2020-05-05,1825,640,1185
2020-05-06,1825,636,1189
2020-05-07,1825,627,1198
2020-05-08,1825,595,1230
2020-05-09,1825,549,1276
2020-05-10,1825,550,1275
2020-05-11,1912,606,1306
2020-05-12,1912,582,1330
2020-05-13,1912,553,1359
2020-05-14,1912,515,1397
2020-05-15,1912,419,1493
2020-05-16,1912,414,1498
2020-05-17,2130,569,1561
2020-05-18,2130,526,1604
2020-05-19,2130,455,1675
2020-05-20,2130,390,1740
2020-05-21,2130,332,1798
2020-05-22,2177,346,1831
2020-05-23,2250,336,1914
2020-05-24,2318,348,1970
2020-05-25,2347,322,2025
2020-05-26,2370,329,2041
