Region,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26
Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,5,0,16,13,12,10,12,12,20,8,0,5,4,5,5,8,3,16,9,10,30,29,6,7,13,3,4,2,13,4,1,0,7,3,6,1,8,2,10,0,7,4,5,7,1,18,21,2,21,15,9,13,15,8
Tarapacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,2,2,0,2,1,4,3,1,2,3,3,6,3,8,6,10,0,4,7,8,9,3,11,10,14,6,9,13,8,5,14,15,0,11,54,16,14,13,38,5,25,28,18,23,31,51,75,51,108,73,40,28,99,121,68,85,53,97
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,1,0,2,6,1,1,4,2,8,0,4,8,7,1,5,8,1,8,15,18,7,21,11,6,21,16,19,15,23,14,28,35,14,26,25,52,14,24,33,27,37,80,45,14,41,28,31,26,19,27,32,89,91,48,38,71,60,70,43,51,35,55,52,40,61,44
Atacama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,6,0,7,1,0,13,8,2,4,0,1,0,20,7,5,1,5,0,2,3,2,5,1,3,3,3,6,0,3,2
Coquimbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,5,1,1,1,1,3,9,1,2,4,1,9,6,1,1,4,5,0,3,2,0,0,0,2,0,0,0,1,0,1,0,2,1,0,1,0,2,0,0,1,5,1,5,0,1,9,12,0,5,4,0,3,5,0,1,13,21,13,2,10,12,25,14,37
Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,8,3,3,6,7,12,5,22,9,28,7,21,20,20,9,6,7,16,11,5,11,7,6,19,12,14,31,15,14,22,7,15,18,8,7,18,6,25,8,33,28,4,42,23,18,31,24,61,38,43,42,29,54,79,69,66,33,85,70,72,107,101,120,87,99,65,133
Metropolitana,0,1,1,1,1,2,3,1,4,9,6,11,14,69,29,22,73,57,55,50,50,81,142,64,192,146,83,128,125,101,115,106,215,145,142,106,198,284,361,255,151,204,283,248,348,233,277,189,262,145,295,351,327,404,331,362,442,339,650,812,998,912,790,1157,784,1149,1022,789,1225,827,1260,1826,1994,1793,1319,1671,1596,2802,3298,3126,3374,2812,2859,4000,3074
O’Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,2,3,2,4,1,0,2,3,6,1,5,3,1,0,1,1,0,1,1,2,5,1,0,1,0,0,1,1,2,17,5,4,7,2,3,7,3,1,10,4,6,5,8,6,13,13,8,13,7,18,33,22,6,22,33,13,11,8,21,20,28,29,59
Maule,0,1,0,0,0,1,1,1,2,0,1,1,0,0,0,2,3,0,1,10,3,1,1,1,1,5,5,12,8,9,11,7,8,6,5,0,11,9,3,3,4,3,1,10,15,56,53,26,2,12,12,5,16,1,4,9,21,8,0,1,2,1,2,7,0,6,11,6,8,9,8,17,24,14,9,17,23,33,29,44,50,37,65,54,60
Ñuble,0,0,0,0,0,0,0,0,0,1,1,2,0,8,14,0,2,16,14,6,17,24,6,3,30,28,25,32,16,14,82,29,31,24,49,48,39,10,18,17,7,5,4,12,5,17,11,11,9,7,9,5,7,10,6,10,6,14,7,0,4,7,0,2,1,1,1,5,8,1,12,11,10,30,14,14,37,3,20,8,5,45,23,37,8
Biobío,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,3,7,5,11,5,11,27,22,14,26,16,34,16,15,24,35,27,45,18,18,27,29,21,14,16,10,12,16,14,17,19,28,10,10,10,22,17,8,13,7,3,3,10,6,0,19,7,3,11,12,18,20,31,10,12,0,27,14,32,29,19,40,25,43,32,43,39,51,34,40
Araucanía,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,6,12,13,19,15,37,32,34,28,42,55,41,46,43,45,32,53,50,57,20,23,27,36,20,21,10,56,25,37,28,73,47,21,29,42,19,13,20,15,22,18,0,19,14,1,19,0,7,7,15,22,2,14,9,36,18,16,13,28,18,10,25,22,30,26,30,21
Los Ríos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,5,3,8,5,13,7,11,6,4,10,11,10,5,5,5,4,6,6,5,3,10,2,3,1,2,1,5,5,4,2,1,3,1,2,0,2,7,0,7,2,1,0,1,2,1,1,0,1,3,1,2,4,0,1,3,4,17,10,4,10,11,6,7
Los Lagos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8,2,2,3,10,3,8,16,3,30,11,24,23,30,22,31,25,17,10,13,26,15,9,15,8,8,5,5,9,13,4,5,3,8,13,9,6,5,8,4,0,4,5,13,11,4,5,1,11,0,1,7,10,8,2,21,0,6,3,2,1,2,10,14,15,5,6,20,14
Aysén,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Magallanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,5,6,3,4,13,0,24,36,15,42,16,18,31,19,26,20,45,46,19,19,14,15,23,34,21,31,13,27,12,10,9,31,13,3,22,21,11,1,25,25,17,13,8,15,28,10,9,3,2,9,13,2,12,8,8,1,5,10,5,5,12,5,12
Total,0,2,1,1,2,3,5,2,6,10,10,18,14,81,45,37,104,92,103,95,114,176,220,164,304,299,230,310,289,293,373,333,424,310,344,301,430,426,529,426,286,312,392,356,534,445,478,358,419,325,464,516,494,552,473,482,552,520,780,882,1246,1112,876,1317,893,1343,1183,1004,1406,975,1479,2152,2301,2112,1573,2024,2018,3099,3647,3538,3863,3237,3343,4428,3618
