Grupo de edad,<=39,40-49,50-59,60-69,>=70
2020-04-01,23,23,53,39,35
2020-04-02,23,27,67,46,37
2020-04-03,26,34,74,56,47
2020-04-04,40,36,84,68,52
2020-04-05,40,40,89,75,63
2020-04-06,38,40,95,78,76
2020-04-07,39,38,101,82,77
2020-04-08,42,39,109,93,79
2020-04-09,46,48,102,89,75
2020-04-10,45,48,111,99,80
2020-04-11,43,50,111,100,79
2020-04-12,41,48,110,106,82
2020-04-13,40,45,112,106,84
2020-04-14,42,43,105,105,84
2020-04-15,42,45,107,110,85
2020-04-16,41,43,103,111,86
2020-04-17,38,44,109,107,87
2020-04-18,34,41,98,103,84
2020-04-19,38,40,96,111,88
2020-04-20,41,38,96,112,90
2020-04-21,41,42,97,121,91
2020-04-22,44,43,96,120,96
2020-04-23,55,40,99,120,97
2020-04-24,58,45,100,113,99
2020-04-25,61,40,102,114,101
2020-04-26,61,41,101,111,101
2020-04-27,63,39,105,112,107
2020-04-28,64,39,105,115,105
2020-04-29,58,36,105,108,111
2020-04-30,52,41,103,115,108
2020-05-01,50,44,108,115,111
2020-05-02,52,42,111,110,110
2020-05-03,55,45,118,117,114
2020-05-04,55,50,122,123,114
2020-05-05,54,50,115,130,121
2020-05-06,53,48,123,141,121
2020-05-07,53,52,127,138,123
2020-05-08,53,56,124,149,126
2020-05-09,59,66,134,154,131
2020-05-10,61,68,139,160,137
2020-05-11,62,73,136,166,137
2020-05-12,73,71,145,176,139
2020-05-13,77,75,152,188,150
2020-05-14,78,77,162,197,149
2020-05-15,82,84,182,213,150
2020-05-16,94,95,188,214,160
2020-05-17,95,94,196,217,167
2020-05-18,100,98,211,222,176
2020-05-19,110,111,231,242,182
2020-05-20,111,117,233,256,187
2020-05-21,120,117,247,266,193
2020-05-22,128,121,256,288,193
2020-05-23,132,127,280,318,205
2020-05-24,131,123,292,331,213
2020-05-25,136,128,307,345,219
